game_id,commence_time,in_play,bookmaker,last_update,home_team,away_team,market,label,description,price,point
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,DraftKings,10/30/2025,New England Patriots,Atlanta Falcons,totals,Under,,100,44.5
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,BetUS,10/30/2025,New England Patriots,Atlanta Falcons,h2h,Atlanta Falcons,,210,
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,BetUS,10/30/2025,New England Patriots,Atlanta Falcons,h2h,New England Patriots,,-250,
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,BetUS,10/30/2025,New England Patriots,Atlanta Falcons,spreads,Atlanta Falcons,,-115,6
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,BetUS,10/30/2025,New England Patriots,Atlanta Falcons,spreads,New England Patriots,,-105,-6
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,BetUS,10/30/2025,New England Patriots,Atlanta Falcons,totals,Over,,-110,45
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,BetUS,10/30/2025,New England Patriots,Atlanta Falcons,totals,Under,,-110,45
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,FanDuel,10/30/2025,New England Patriots,Atlanta Falcons,h2h,Atlanta Falcons,,190,
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,FanDuel,10/30/2025,New England Patriots,Atlanta Falcons,h2h,New England Patriots,,-230,
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,FanDuel,10/30/2025,New England Patriots,Atlanta Falcons,spreads,Atlanta Falcons,,-115,5.5
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,FanDuel,10/30/2025,New England Patriots,Atlanta Falcons,spreads,New England Patriots,,-105,-5.5
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,FanDuel,10/30/2025,New England Patriots,Atlanta Falcons,totals,Over,,-110,44.5
